testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
1;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;44.9999;9.3;-4.3;-270;30.9;-0.000909479;0;-3;-1;0;44.9999;9.3;-4.3;-270;30.9;-0.00090894;0;-3;-1;0;44.9999;9.3;-4.3;-270;30.9;-0.000905988
1;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;44.9989;9.29971;-4.30008;90;30.9;-0.000846578;0;1;-1;0;44.9999;9.3;-4.3;90.0002;30.9;-0.00090894;0;1;-1;0;44.9999;9.3;-4.3;90.0002;30.9;-0.000910417
5;7;0;-4;4;0;TRUE;FALSE;TRUE;FALSE;45.0002;46.0992;31.9002;-179.999;45.3;269.999;0;-2;2;0;45;46.1;31.9;-180;45.3;269.999;0;-2;2;0;45;46.1;31.9;-180;45.3;269.999
6;2;0;0;-4;0;TRUE;FALSE;TRUE;TRUE;89.9995;5.80014;25.8006;-90.0011;17.6001;-179.999;0;-2;-2;0;90.0009;5.8;25.8;-90.0009;17.6;-180;1;-2;-2;0;90.0009;5.8;25.8;-90.0009;17.6;-180
6;3;0;4;-4;0;FALSE;TRUE;FALSE;FALSE;89.9998;5.8;25.8003;269.999;17.5999;-180;0;2;-2;0;90.0009;5.8;25.8;269.999;17.6;-180;1;2;-2;0;9E+9;9E+9;9E+9;9E+9;9E+9;9E+9
10;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;89.9998;3.79999;-30.9;-134.999;55;89.999;0;-2;0;0;89.9996;3.8;-30.9;-134.999;55;89.999;0;-2;0;0;89.9996;3.8;-30.9;-134.999;55;89.999
11;1;0;-4;-4;0;TRUE;FALSE;TRUE;FALSE;45.0008;-46.4998;-10.4997;-225;36.5998;-180;0;-3;-3;0;44.9991;-46.5;-10.5;-225;36.6;-180;0;-3;-2;0;44.9991;-46.5;-10.5;-225;36.6;-180
11;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;45.0007;-46.4993;-10.499;135;36.6004;-180;0;1;-3;0;44.9991;-46.5;-10.5;135;36.6;-180;0;1;-2;0;44.9991;-46.5;-10.5;135;36.6;-180
13;1;0;-4;-4;0;TRUE;FALSE;TRUE;FALSE;-90.0007;19.3995;-78.7002;-180.001;21.4;-315;-2;-3;-4;0;-89.9997;19.4001;-78.7001;-180.001;21.4;-315;-1;-3;-4;0;-89.9997;19.4001;-78.7001;-180.001;21.4;-315
