testId;confId;branch S/L;CfxOK;PathLength;PathDist;ExpectedRatio;RatioPath;RatioRot;FoundBranch;RotLength;RotDist
1;2;S;TRUE;0.718474;0.00585238;0.01;0.00259551;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00616304;0.01;999;2.86108E-5;S;7.46144;0
1;2;S;TRUE;0.718474;0.00576839;0.02;0.0125887;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00608946;0.02;999;0.0100285;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00565128;0.03;0.0225414;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00590403;0.03;999;0.0200284;S;7.46144;0
1;2;S;TRUE;0.718474;0.00580444;0.04;0.0325686;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00610626;0.04;999;0.0300281;S;7.46144;0
1;2;S;TRUE;0.718474;0.00590277;0.05;0.0425461;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00618024;0.05;999;0.0400286;S;7.46144;0
1;2;S;TRUE;0.718474;0.00576839;0.06;0.0526765;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00607323;0.06;999;0.0500284;S;7.46144;0
1;2;S;TRUE;0.718474;0.00581886;0.07;0.0626821;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00613031;0.07;999;0.0600284;S;7.46144;0
1;2;S;TRUE;0.718474;0.00575449;0.08;0.0726844;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00601622;0.08;999;0.070028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00563411;0.09;0.082609;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00597584;0.09;999;0.0800295;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00576839;0.1;0.0924775;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00606709;0.1;999;0.0900294;S;7.46144;0
1;2;S;TRUE;0.718474;0.00573503;0.11;0.10262;999;S;7.46144;0.0559529
1;2;S;TRUE;0.718474;0.00608946;0.11;999;0.10003;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00583804;0.12;0.112566;999;S;7.46144;0.0559529
1;2;S;TRUE;0.718474;0.00612362;0.12;999;0.11003;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.0057858;0.13;0.122482;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00605234;0.13;999;0.120028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00555017;0.14;0.13265;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00582942;0.14;999;0.130028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00560062;0.15;0.142587;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00590245;0.15;999;0.140028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00540463;0.16;0.152754;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00568447;0.16;999;0.150029;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00534049;0.17;0.162592;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00562186;0.17;999;0.160029;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00581118;0.18;0.172398;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00606985;0.18;999;0.170028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00594647;0.19;0.182375;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.0062019;0.19;999;0.180028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00565128;0.2;0.192502;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00592072;0.2;999;0.190028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00564336;0.21;0.20239;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00593298;0.21;999;0.20003;S;7.46144;0
1;2;S;TRUE;0.718474;0.00562485;0.22;0.212542;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00596148;0.22;999;0.210029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00559197;0.23;0.222398;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00586351;0.23;999;0.220029;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00560062;0.24;0.232618;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00583038;0.24;999;0.230027;S;7.46144;0
1;2;S;TRUE;0.718474;0.00559197;0.25;0.242505;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00584218;0.25;999;0.240028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00540566;0.26;0.252467;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00571551;0.26;999;0.250028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00545676;0.27;0.262542;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00575707;0.27;999;0.260028;S;7.46144;0.0559529
1;2;S;TRUE;0.718474;0.00559197;0.28;0.27241;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00580059;0.28;999;0.270028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00545676;0.29;0.282403;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00572626;0.29;999;0.28003;S;7.46144;0
1;2;S;TRUE;0.718474;0.00565128;0.3;0.29243;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00592072;0.3;999;0.290029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00554077;0.31;0.302533;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00588792;0.31;999;0.30003;S;7.46144;0
1;2;S;TRUE;0.718474;0.00532162;0.32;0.312404;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00558463;0.32;999;0.310028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00559197;0.33;0.322394;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00580059;0.33;999;0.320029;S;7.46144;0
1;2;S;TRUE;0.718474;0.0055676;0.34;0.332369;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00580637;0.34;999;0.330029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00540566;0.35;0.342499;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00569952;0.35;999;0.340028;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00545676;0.36;0.352504;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00575707;0.36;999;0.350029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00537283;0.37;0.362389;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.0055943;0.37;999;0.360029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00534955;0.38;0.372541;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.0056265;0.38;999;0.370027;S;7.46144;0
1;2;S;TRUE;0.718474;0.00540566;0.39;0.382409;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00571551;0.39;999;0.380029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00550806;0.4;0.392346;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00578934;0.4;999;0.390029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00551685;0.41;0.402429;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00573211;0.41;999;0.400028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00551685;0.42;0.412463;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00573211;0.42;999;0.410029;S;7.46144;0
1;2;S;TRUE;0.718474;0.00532162;0.43;0.422593;999;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.0056265;0.43;999;0.420028;S;7.46144;0
1;2;S;TRUE;0.718474;0.00567594;0.44;0.432269;999;S;7.46144;0
1;2;S;TRUE;0.718474;0.00589898;0.44;999;0.43003;S;7.46144;0.0395647
1;2;S;TRUE;0.718474;0.00529882;0.45;0.442601;999;S;7.46144;0
