testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
27;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;-90.0002;24.5418;-79.4804;180;50.4252;-135;-2;1;-2;0;-90;24.5424;-79.4803;180;50.4251;-135;-2;1;-2;0;-90;24.5424;-79.4803;180;50.4251;-135
28;6;0;4;0;0;TRUE;FALSE;TRUE;FALSE;-0.000505386;18.7114;41.2083;225;45.4079;45.0003;-1;2;0;0;0.000217785;18.7121;41.2082;225;45.4079;45.0002;0;2;0;0;0.000217893;18.7121;41.2082;225;45.4079;45.0002
30;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;134.998;23.8896;17.3844;-0.000105685;57.3213;360;1;-1;3;0;135;23.8905;17.384;1.67051E-5;57.3211;360;1;0;4;0;135;23.8905;17.384;1.65297E-5;57.3211;360
34;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;-0.000284346;34.9278;-29.8202;90.0007;38.8745;-225;-1;1;-3;0;0.000542358;34.9284;-29.8202;90.0005;38.8745;-224.999;0;1;-3;0;0.00054226;34.9284;-29.8202;90.0005;38.8745;-224.999
40;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-90;22.4644;0.132494;-225;26.5934;89.9999;-2;-3;0;0;-90.0001;22.4659;0.133673;-225;26.5932;89.9999;-2;-3;0;0;-90.0001;22.4659;0.133673;-225;26.5932;89.9999
41;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;-0.00251875;39.2118;-11.4033;-89.9995;14.8503;-135.001;-1;-1;-2;0;-1.40126E-6;39.2132;-11.4036;-90;14.8503;-135;-1;-1;-2;0;-1.51221E-6;39.2132;-11.4036;-90;14.8503;-135
43;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-0.00131428;-25.2537;15.5904;-0.000606355;12.6328;-0.000109842;-1;-1;-1;0;-0.000322001;-25.2528;15.5907;-0.000322001;12.6328;-0.000337867;-1;-1;-1;0;-0.000322001;-25.2528;15.5907;-0.000322001;12.6328;-0.000337867
46;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-0.00103131;39.8864;-2.67916;180;29.1825;89.9995;-1;1;0;0;-0.000482548;39.8871;-2.67922;180;29.1824;89.9995;-1;1;0;0;-0.000482637;39.8871;-2.67922;180;29.1824;89.9995
48;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;135.001;39.8724;-68.558;-89.999;6.93258;-359.999;1;-1;-4;0;135.001;39.8724;-68.558;-89.999;6.93258;-359.999;1;-1;-4;0;135.001;39.8724;-68.558;-89.999;6.93258;-359.999
48;3;0;4;-4;0;FALSE;TRUE;FALSE;TRUE;135.001;39.8724;-68.558;270.001;6.93258;-359.999;1;3;-4;0;135.001;39.8724;-68.558;270.001;6.93258;-359.999;1;3;-4;0;135.001;39.8724;-68.558;270.001;6.93259;-359.999
49;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;90.001;30.3462;27.4887;44.9998;51.5295;-45.0001;1;0;-1;0;89.9998;30.347;27.4889;44.9998;51.5293;-45.0002;0;0;-1;0;89.9998;30.347;27.4889;44.9998;51.5293;-45.0002
50;3;0;4;-4;0;TRUE;FALSE;TRUE;FALSE;89.9994;33.639;-67.2924;269.999;20.8838;-225;0;2;-3;0;89.9995;33.6393;-67.2924;270;20.8838;-225.001;0;2;-3;0;89.9995;33.6393;-67.2924;270;20.8838;-225.001
52;7;0;-4;4;0;TRUE;FALSE;TRUE;FALSE;-0.000489105;-3.05978;-57.7746;-135;12.1293;314.999;-1;-2;3;0;-0.000498019;-3.05978;-57.7746;-135;12.1293;314.999;-1;-2;3;0;-0.000498129;-3.05978;-57.7746;-135;12.1293;314.999
55;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;134.999;45.8222;1.74838;89.9997;45.1918;-180.001;1;0;-3;0;135;45.8236;1.7484;89.9996;45.1918;-180;1;0;-3;0;135;45.8236;1.7484;89.9996;45.1918;-180
57;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;44.9995;-25.5019;9.98871;-135;21.25;44.9996;0;-2;0;0;44.9996;-25.5019;9.98871;-135;21.25;44.9996;0;-2;0;0;44.9996;-25.5019;9.98871;-135;21.25;44.9996
58;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;44.9994;-16.5007;16.963;179.999;51.3315;89.9994;0;1;0;0;44.9994;-16.5001;16.9634;179.999;51.3315;89.9995;0;1;0;0;44.9994;-16.5001;16.9634;179.999;51.3315;89.9995
59;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;44.9994;-57.6663;35.3051;180;16.3061;-180.001;0;1;-3;0;44.9995;-57.6672;35.3047;179.999;16.306;-180.001;0;1;-3;0;44.9995;-57.6672;35.3047;179.999;16.306;-180.001
