testId;confId;branch S/L;CfxOK;PathLenth;PathDist;RatioPath;RatioRot;FoundBranch;RotLength;Rotdist
1;2;S;TRUE;2636.21;0.185902;0.00977995;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0201846;0;0.00999743;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.174742;0.0197883;0;S;153.474;0.0559529
1;2;S;TRUE;2636.21;0.0171768;0;0.0199977;S;153.474;0
1;2;S;TRUE;2636.21;0.163561;0.0297963;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0148898;0;0.0299981;S;153.474;0
1;2;S;TRUE;2636.21;0.211599;0.0397206;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0368905;0;0.0399942;S;153.474;0
1;2;S;TRUE;2636.21;0.198572;0.0497301;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0335642;0;0.0499949;S;153.474;0
1;2;S;TRUE;2636.21;0.186028;0.0597403;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0297134;0;0.0599954;S;153.474;0
1;2;S;TRUE;2636.21;0.174604;0.0697514;0;S;153.474;0
1;2;S;TRUE;2636.21;0.025318;0;0.069996;S;153.474;0
1;2;S;TRUE;2636.21;0.162885;0.0797625;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0212663;0;0.0799965;S;153.474;0
1;2;S;TRUE;2636.21;0.150971;0.0897738;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0180103;0;0.089997;S;153.474;0
1;2;S;TRUE;2636.21;0.188862;0.0996978;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0404551;0;0.0999927;S;153.474;0
1;2;S;TRUE;2636.21;0.171728;0.109713;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0349723;0;0.109994;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.158035;0.119727;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0300895;0;0.119995;S;153.474;0
1;2;S;TRUE;2636.21;0.146674;0.129742;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0246829;0;0.129996;S;153.474;0
1;2;S;TRUE;2636.21;0.134857;0.139757;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0199831;0;0.139997;S;153.474;0
1;2;S;TRUE;2636.21;0.168542;0.149677;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0438702;0;0.149991;S;153.474;0
1;2;S;TRUE;2636.21;0.151871;0.159694;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0386075;0;0.159993;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.137443;0.169708;0;S;153.474;0.0559529
1;2;S;TRUE;2636.21;0.0338534;0;0.169994;S;153.474;0
1;2;S;TRUE;2636.21;0.124514;0.179721;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0298532;0;0.179995;S;153.474;0
1;2;S;TRUE;2636.21;0.108718;0.189736;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.025552;0;0.189996;S;153.474;0
