testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
1;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;135.318;-26.7513;1.48778;-3.46225;46.3383;-182.593;1;-1;-3;0;135.318;-26.7513;1.48778;-3.46225;46.3383;-182.593;1;-1;-3;0;135.318;-26.7513;1.48778;-3.46225;46.3383;-182.593
2;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;44.8072;31.1258;2.52757;-184.686;37.9708;178.482;0;-3;1;0;44.8072;31.1258;2.52757;-184.686;37.9708;178.482;0;-3;1;0;44.8072;31.1258;2.52757;-184.686;37.9708;178.482
2;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;44.8071;31.1258;2.52756;175.314;37.9708;178.482;0;1;1;0;44.8072;31.1258;2.52757;175.314;37.9708;178.482;0;1;1;0;44.8072;31.1258;2.52757;175.314;37.9708;178.482
3;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;45.3234;4.93484;-72.296;-3.14841;34.7898;-1.96501;0;-1;-1;0;45.3237;4.93517;-72.2959;-3.14846;34.79;-1.96504;0;-1;-1;0;45.3237;4.93517;-72.2959;-3.14846;34.79;-1.96504
4;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;46.1219;15.5879;-75.5917;-88.0743;12.4458;267.941;0;-1;2;0;46.1223;15.5881;-75.5916;-88.0742;12.4459;267.941;0;-1;2;0;46.1223;15.588;-75.5916;-88.0743;12.4459;267.941
5;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;136.636;-28.9015;43.4579;6.70549;16.5374;-136.196;1;0;-2;0;136.636;-28.9015;43.4579;6.70549;16.5374;-136.196;1;0;-2;0;136.636;-28.9015;43.4579;6.70549;16.5374;-136.196
6;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;135.296;42.5534;-12.7367;29.0879;10.1211;-303.555;1;0;-4;0;135.296;42.5534;-12.7367;29.0879;10.1211;-303.555;1;0;-4;0;135.296;42.5534;-12.7367;29.0879;10.1211;-303.555
7;3;0;4;-4;0;TRUE;FALSE;TRUE;FALSE;-133.626;-3.83593;-53.0398;264.196;30.5716;-316.314;-2;2;-4;0;-133.626;-3.83591;-53.0398;264.196;30.5716;-316.314;-2;2;-4;0;-133.626;-3.83591;-53.0398;264.196;30.5716;-316.314
8;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;134.014;14.7111;-61.7488;-63.7672;19.2304;-211.834;1;-1;-3;0;134.014;14.7111;-61.7488;-63.7672;19.2304;-211.834;1;-1;-3;0;134.014;14.7111;-61.7488;-63.7672;19.2304;-211.834
10;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;89.7205;12.4496;36.9535;103.083;53.508;358.483;0;1;3;0;89.7205;12.4496;36.9535;103.083;53.508;358.483;0;1;3;0;89.7205;12.4496;36.9535;103.083;53.508;358.483
11;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;135.617;-17.3371;-21.4525;149.174;13.2219;-109.59;1;1;-2;0;135.617;-17.3371;-21.4525;149.174;13.2219;-109.59;1;1;-2;0;135.617;-17.3371;-21.4525;149.174;13.2219;-109.59
12;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-0.054571;-22.0108;4.69923;-46.3599;23.4842;-46.4705;-1;-1;-1;0;-0.0545823;-22.0108;4.69923;-46.3599;23.4842;-46.4705;-1;-1;-1;0;-0.0545821;-22.0108;4.69923;-46.3599;23.4842;-46.4705
13;3;0;4;-4;0;TRUE;FALSE;TRUE;FALSE;-89.9008;-40.074;44.5594;259.194;61.0758;-359.06;-1;2;-4;0;-89.9008;-40.074;44.5594;259.194;61.0758;-359.06;-1;2;-4;0;-89.9008;-40.074;44.5594;259.194;61.0758;-359.06
14;7;0;-4;4;0;TRUE;FALSE;TRUE;FALSE;134.442;-26.0757;-32.6368;-268.694;57.6632;269.411;1;-3;2;0;134.442;-26.0755;-32.6367;-268.694;57.6632;269.411;1;-3;2;0;134.442;-26.0755;-32.6367;-268.694;57.6632;269.411
15;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;44.2607;33.8733;18.7457;162.368;34.6453;-246.687;0;1;-3;0;44.2608;33.8733;18.7457;162.368;34.6453;-246.687;0;1;-3;0;44.2608;33.8733;18.7457;162.368;34.6453;-246.687
15;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;44.2609;33.8733;18.7457;162.368;34.6453;113.313;0;1;1;0;44.2608;33.8733;18.7457;162.368;34.6453;113.313;0;1;1;0;44.2608;33.8733;18.7457;162.368;34.6453;113.313
16;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;134.478;13.2718;-25.6654;207.352;27.96;108.294;1;2;1;0;134.478;13.2718;-25.6654;207.352;27.96;108.294;1;2;1;0;134.478;13.2718;-25.6654;207.352;27.96;108.294
17;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;133.594;-47.5239;18.0836;102.052;10.5435;-143.853;1;1;-2;0;133.594;-47.5239;18.0836;102.052;10.5435;-143.853;1;1;-2;0;133.594;-47.5239;18.0836;102.052;10.5435;-143.853
19;1;0;-4;-4;0;TRUE;FALSE;TRUE;FALSE;0.543191;12.1559;-30.612;-198.551;23.0379;-166.91;0;-3;-2;0;0.543232;12.1559;-30.6119;-198.551;23.0379;-166.91;0;-3;-2;0;0.543232;12.1559;-30.6119;-198.551;23.0379;-166.91
