testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
1;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;45.0004;-17.5512;3.9027;-89.9996;20.2686;-44.9996;0;-1;-1;0;45.0004;-17.5512;3.9027;-89.9996;20.2686;-44.9996;0;-1;-1;0;45.0004;-17.5512;3.9027;-89.9996;20.2686;-44.9996
1;6;0;4;0;0;FALSE;TRUE;FALSE;TRUE;45.0003;-17.5512;3.9027;270;20.2686;-44.9996;0;3;-1;0;45.0004;-17.5512;3.9027;270;20.2686;-44.9996;0;3;-1;0;45.0004;-17.5512;3.9027;270;20.2686;-44.9996
4;1;0;-4;-4;0;TRUE;FALSE;TRUE;FALSE;90.0005;-18.1701;41.0059;-180;56.6967;-180;1;-2;-2;0;90.0003;-18.1701;41.0059;-180;56.6967;-180;1;-2;-2;0;90.0003;-18.1701;41.0059;-180;56.6967;-180
4;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;90.001;-18.17;41.0058;-180;56.6967;180;1;-2;2;0;90.0003;-18.1701;41.0059;-180;56.6967;180;1;-2;2;0;90.0003;-18.1701;41.0059;-180;56.6967;180
7;1;0;-4;-4;0;FALSE;TRUE;FALSE;TRUE;0.00222482;31.9679;26.4243;-179.999;44.9682;-224.999;0;-2;-3;0;0.000739783;31.9694;26.4257;-179.999;44.9684;-224.999;0;-2;-3;0;0.000739877;31.9694;26.4257;-179.999;44.9684;-224.999
7;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;0.000394299;31.9684;26.4245;180.001;44.9685;-225;0;2;-3;0;0.000739783;31.9694;26.4257;180.001;44.9684;-224.999;0;2;-3;0;0.00073968;31.9694;26.4257;180.001;44.9684;-224.999
9;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;-90.0007;-29.3912;41.2717;-90.0007;49.9344;-90.0007;-2;-2;-2;0;-90.0007;-29.3912;41.2717;-90.0007;49.9344;-90.0007;-2;-2;-2;0;-90.0007;-29.3912;41.2717;-90.0007;49.9344;-90.0007
12;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;134.998;14.8255;5.47802;-135;21.0744;44.9997;1;-2;0;0;135;14.8265;5.47776;-135;21.0743;44.9996;1;-2;0;0;135;14.8265;5.47776;-135;21.0743;44.9996
12;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;134.998;14.8257;5.47791;224.999;21.0741;44.9998;1;2;0;0;135;14.8265;5.47776;225;21.0743;44.9996;1;2;0;0;135;14.8265;5.47776;225;21.0743;44.9996
16;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;45.0002;-11.4243;-0.148001;-135;17.304;-270;0;-2;-3;0;45.0001;-11.4243;-0.148013;-135;17.304;-270;0;-2;-3;0;45.0001;-11.4243;-0.148012;-135;17.304;-270
19;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;-45.0026;43.0868;35.281;224.999;55.3272;-225.001;-1;2;-3;0;-45.0008;43.0879;35.2809;224.999;55.327;-225.001;-1;2;-3;0;-45.0008;43.0879;35.2809;224.999;55.327;-225.001
22;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;44.9993;-25.3522;43.9894;89.9996;47.2848;-90.0003;0;0;-2;0;44.9997;-25.3517;43.9894;89.9997;47.2848;-90.0003;0;0;-2;0;44.9997;-25.3517;43.9894;89.9997;47.2848;-90.0003
23;6;0;4;0;0;TRUE;FALSE;TRUE;FALSE;134.998;51.3193;-17.3027;269.999;18.8715;44.9995;1;2;0;0;134.999;51.3205;-17.3031;269.999;18.8714;44.9991;1;2;0;0;134.999;51.3205;-17.3031;269.999;18.8714;44.9991
27;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;89.9995;-41.2421;11.8296;179.999;38.673;-45.0006;0;1;-1;0;89.9994;-41.2421;11.8296;179.999;38.673;-45.0006;0;1;-1;0;89.9994;-41.2421;11.8296;179.999;38.673;-45.0006
27;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;89.9995;-41.2421;11.8296;179.999;38.673;314.999;0;1;3;0;89.9994;-41.2421;11.8296;179.999;38.673;314.999;0;1;3;0;89.9994;-41.2421;11.8296;179.999;38.673;314.999
28;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;89.9999;26.7793;48.5242;225;34.3389;-45.0002;0;2;-1;0;89.9998;26.78;48.5241;225;34.3388;-45.0002;0;2;-1;0;89.9998;26.78;48.5241;225;34.3388;-45.0002
31;1;0;-4;-4;0;TRUE;FALSE;TRUE;FALSE;-45.0031;11.4905;15.5242;-180;54.4665;-135;-1;-3;-2;0;-45.0007;11.4902;15.5232;-180.001;54.4664;-135.001;-1;-3;-2;0;-45.0007;11.4902;15.5232;-180.001;54.4664;-135.001
31;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;-45.0033;11.4903;15.524;-180.001;54.4663;224.999;-1;-3;2;0;-45.0007;11.4902;15.5232;-180.001;54.4664;224.999;-1;-3;2;0;-45.0007;11.4902;15.5232;-180.001;54.4664;224.999
37;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;0.00232992;37.2052;-42.3055;90.001;55.816;0.000845712;0;1;0;0;0.000991918;37.2063;-42.3057;90.001;55.8159;0.000964574;0;1;0;0;0.000991918;37.2063;-42.3057;90.001;55.8159;0.000964574
40;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;0.00216664;21.2242;-41.8254;135.001;25.5861;225.001;0;1;2;0;0.000737447;21.2244;-41.8256;135.001;25.5861;225.001;0;1;2;0;0.00073748;21.2244;-41.8256;135.001;25.5861;225.001
46;1;0;-4;-4;0;FALSE;TRUE;FALSE;TRUE;45.0006;-4.25369;16.2215;-269.999;8.85525;-269.999;0;-3;-3;0;45.0007;-4.25367;16.2215;-269.999;8.85525;-269.999;0;-3;-3;0;45.0007;-4.25367;16.2215;-269.999;8.85525;-269.999
46;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;45.0007;-4.25413;16.2214;90.0006;8.85523;-269.999;0;1;-3;0;45.0007;-4.25367;16.2215;90.0007;8.85525;-269.999;0;1;-3;0;45.0007;-4.25367;16.2215;90.0007;8.85525;-269.999
50;7;0;-4;4;0;TRUE;FALSE;TRUE;FALSE;90.0008;-20.9717;-47.8439;-135;22.0136;270;1;-2;2;0;89.9996;-20.9717;-47.8442;-135;22.0136;270;0;-2;2;0;89.9996;-20.9717;-47.8442;-135;22.0136;270
51;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;0.000371285;1.78851;18.8478;135;22.6362;-89.9995;0;1;-1;0;0.000420681;1.789;18.8479;135;22.6362;-89.9996;0;1;-1;0;0.00042069;1.789;18.8479;135;22.6362;-89.9996
51;8;0;0;4;0;FALSE;TRUE;FALSE;TRUE;0.000850458;1.78843;18.8478;135;22.6362;270;0;1;3;0;0.000420681;1.789;18.8479;135;22.6362;270;0;1;3;0;0.000420802;1.789;18.8479;135;22.6362;270
53;1;0;-4;-4;0;TRUE;FALSE;TRUE;FALSE;-0.00035259;-28.9554;33.9439;-180;2.64412;-135;-1;-3;-2;0;-0.000453216;-28.9554;33.9439;-180;2.64412;-135;-1;-3;-2;0;-0.000453213;-28.9554;33.9439;-180;2.64412;-135
56;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;-134.999;34.2462;-77.4175;-135;30.0944;-179.999;-2;-2;-2;0;-134.999;34.2473;-77.4173;-134.999;30.0943;-179.999;-2;-2;-2;0;-134.999;34.2473;-77.4172;-134.999;30.0943;-179.999
56;5;0;0;0;0;FALSE;FALSE;TRUE;FALSE;-135;34.2466;-77.4174;-135;30.0943;180.001;-2;-2;2;0;-134.999;34.2473;-77.4173;-134.999;30.0943;180.001;-2;-2;2;0;-134.999;34.2473;-77.4172;-134.999;30.0943;180.001
58;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;-89.9996;59.8238;-65.6777;90.0008;6.37043;270;-1;1;3;0;-89.9996;59.8242;-65.6776;90.0005;6.37043;270;-1;1;3;0;-89.9996;59.8242;-65.6776;90.0006;6.37043;270
64;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;0.00131241;29.7092;-29.9511;-179.999;24.0169;0.000631353;0;-2;0;0;0.000611133;29.7098;-29.9512;-179.999;24.0168;0.000611074;0;-2;0;0;0.000611133;29.7098;-29.9512;-179.999;24.0168;0.000611074
66;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;44.9964;49.9825;31.7099;-135;59.1724;180;0;-2;2;0;45;49.9838;31.7103;-135;59.1723;180;0;-2;1;0;45;49.9838;31.7103;-135;59.1723;180
67;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;89.999;-28.5747;-16.8387;-90.0005;11.4738;-315;0;-2;-4;0;89.9996;-28.5745;-16.8389;-90.0004;11.4737;-315;0;-2;-4;0;89.9996;-28.5745;-16.8389;-90.0004;11.4737;-315
67;3;0;4;-4;0;FALSE;TRUE;FALSE;TRUE;89.999;-28.5746;-16.8388;269.999;11.4737;-315;0;2;-4;0;89.9996;-28.5745;-16.8389;270;11.4737;-315;0;2;-4;0;89.9996;-28.5745;-16.8389;270;11.4737;-315
68;4;0;-4;0;0;TRUE;FALSE;FALSE;FALSE;-44.9998;30.5843;-11.0544;-225;52.4852;-0.000488256;-1;-3;-1;0;-45.0004;30.585;-11.0544;-225;52.4851;-0.000424009;-1;-3;-1;0;9E+9;9E+9;9E+9;9E+9;9E+9;9E+9
69;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-89.9973;-4.08966;-66.7927;-269.999;32.7073;90.0009;-1;-3;1;0;-89.999;-4.08885;-66.7925;-269.999;32.7073;90.001;-1;-3;1;0;-89.999;-4.08885;-66.7925;-269.999;32.7073;90.001
72;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-135;34.5689;-72.3709;-44.9996;56.2736;180;-2;-1;2;0;-135;34.5695;-72.3707;-44.9996;56.2737;180;-2;-1;2;0;-135;34.5695;-72.3707;-44.9996;56.2737;180
73;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;44.9993;16.2359;-23.3019;-270.001;45.9902;134.999;0;-4;1;0;44.9995;16.2365;-23.3018;-270.001;45.9902;134.999;0;-4;1;0;44.9995;16.2365;-23.3018;-270.001;45.9902;134.999
74;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-44.998;52.7328;28.5131;-135;44.8731;-90.0001;-1;-2;-2;0;-45.0001;52.7342;28.5125;-135;44.8732;-90.0001;-1;-2;-2;0;-45.0001;52.7342;28.5125;-135;44.8732;-90.0001
