testId;confId;branch S/L;CfxOK;PathLenth;PathDist;RatioPath;RatioRot;FoundBranch;RotLength;Rotdist
1;5;S;TRUE;1388.9;0.147954;0.00951145;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0178744;0;0.00999665;S;164.098;0
1;5;S;TRUE;1388.9;0.141453;0.0195209;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0168569;0;0.0199969;S;164.098;0
1;5;S;TRUE;1388.9;0.134682;0.0295311;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0157831;0;0.0299971;S;164.098;0
1;5;S;TRUE;1388.9;0.128092;0.0395416;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0147386;0;0.0399973;S;164.098;0
1;5;S;TRUE;1388.9;0.121335;0.0495527;0;S;164.098;0.068528
1;5;S;TRUE;1388.9;0.0137067;0;0.0499975;S;164.098;0.0395647
1;5;S;TRUE;1388.9;0.114849;0.0595643;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0126277;0;0.0599977;S;164.098;0
1;5;S;TRUE;1388.9;0.108179;0.0695771;0;S;164.098;0.0395647
1;5;S;TRUE;1388.9;0.0112541;0;0.069998;S;164.098;0
1;5;S;TRUE;1388.9;0.101818;0.0795909;0;S;164.098;0.0395647
1;5;S;TRUE;1388.9;0.0095481;0;0.0799983;S;164.098;0
1;5;S;TRUE;1388.9;0.138846;0.0894135;0;S;164.098;0.068528
1;5;S;TRUE;1388.9;0.0291321;0;0.0899944;S;164.098;0.0395647
1;5;S;TRUE;1388.9;0.131575;0.0994284;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0260639;0;0.099995;S;164.098;0
1;5;S;TRUE;1388.9;0.12475;0.109443;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0234258;0;0.109996;S;164.098;0.0395647
1;5;S;TRUE;1388.9;0.118986;0.119452;0;S;164.098;0.068528
1;5;S;TRUE;1388.9;0.022181;0;0.119996;S;164.098;0
1;5;S;TRUE;1388.9;0.114203;0.129454;0;S;164.098;0.068528
1;5;S;TRUE;1388.9;0.021968;0;0.129996;S;164.098;0
1;5;S;TRUE;1388.9;0.109796;0.139455;0;S;164.098;0.0791294
1;5;S;TRUE;1388.9;0.0219655;0;0.139996;S;164.098;0
1;5;S;TRUE;1388.9;0.105386;0.149457;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0218883;0;0.149996;S;164.098;0.0395647
1;5;S;TRUE;1388.9;0.101114;0.159459;0;S;164.098;0.0559529
1;5;S;TRUE;1388.9;0.0218611;0;0.159996;S;164.098;0
1;5;S;TRUE;1388.9;0.0650864;0.169641;0;S;164.098;0.068528
1;5;S;TRUE;1388.9;0.00499976;0;0.169999;S;164.098;0
