PathLengthFrom;PathLengthTo;Groups;RatioPathMeanErrorMedian;RatioPathMeanErrorP95;RatioRotMeanErrorMedian;RatioRotMeanErrorP95;PathMinusRot
1.0;2.0;33;0.010776196;0.02583145318993197;0.008878031100000001;0.767;0.001898164899999999
2.0;3.0;101;0.009917121718000002;0.016996502040816326;0.009952789104000003;0.755;-3.56673860000007e-05
3.0;4.0;166;0.010012003800000002;0.019062702640510208;0.019536544099999997;0.75;-0.009524540299999995
4.0;5.0;318;0.009598668115;0.013793638346938772;0.00982125163;0.76;-0.0002225835149999994
5.0;6.0;398;0.009421174589999998;0.01271531076974489;0.019209628650000005;0.755;-0.009788454060000007
6.0;7.0;580;0.00937643100367347;0.012120963775510207;0.01995263515;0.755;-0.010576204146326528
7.0;8.0;765;0.009347054390000003;0.012335107659591836;0.0198296843;0.755;-0.010482629909999997
8.0;9.0;1012;0.009292864865612245;0.011392050074489795;0.019862615699999996;0.75;-0.010569750834387751
9.0;10.0;1324;0.009322921320816328;0.011066471675612246;0.02034958285;0.755;-0.011026661529183671
10.0;11.0;1236;0.009340549690000002;0.01075747677091837;0.02002245535;0.755;-0.010681905659999998
11.0;12.0;1100;0.009317990544999996;0.010648628195918363;0.020635395950000003;0.755;-0.011317405405000007
12.0;13.0;919;0.009288072890000002;0.01030394851030612;0.0205074365;0.755;-0.011219363609999998
13.0;14.0;538;0.009283318356326533;0.009996510609550308;0.020268619849999996;0.75;-0.010985301493673463
14.0;15.0;273;0.009298478070000001;0.01012296780434216;0.020609795900000002;0.755;-0.01131131783
15.0;16.0;115;0.00928513924;0.010056038926938777;0.020626931299999998;0.75;-0.011341792059999998
16.0;17.0;8;0.009010324509999997;0.009704131025999997;0.2516605773;0.75325;-0.24265025279000002
